PROJ_NAME,TRACK_GROUP,TRACK,DOMAIN,TASK,,,
Alkermes,WINTEL DOMAIN,Vmware,Powershell,VM tools updates by ESX update,,,
Alkermes,WINTEL DOMAIN,Vmware,Powershell,Patch Management ,,,
Alkermes,WINTEL DOMAIN,Vmware,Powershell,VM Deployment with command,,,
Alkermes,WINTEL DOMAIN,Vmware,"Tools, Optibot, Python & Misc",Performance report,,,
Alkermes,WINTEL DOMAIN,Vmware,Powershell,"Report for snapshot, CDP and etc",,,
Alkermes,WINTEL DOMAIN,Vmware,Powershell,VM Hardware installation with commands,,,
Alkermes,WINTEL DOMAIN,Vmware,Powershell,VM Startup and Shutdown with commands,,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Device Up/Down,,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Link/Interface Up Down,,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,CPU Utilization,,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Physical Memory Utilization,,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Fan status,,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Power Supply status,,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Device Temperature,,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Link Utilization,,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Device Uptime,,,
Alkermes,WINTEL DOMAIN,Active Directory,Powershell,"fetch report of switchport status on one or multiple switches. [example headings: switchname, switchport interface number, interface status, learning mac address on the interface, interface description,..]",,,
Alkermes,NETWORKS DOMAIN,Network,Perl,fetch list of accesspoint client details with IP address & hostnmaes,,,
Alkermes,NETWORKS DOMAIN,Network,ShellScript,Fetch list of APs associated in WLC with High Availability details,,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Add/Delete users to/from AD groups,,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Creating new admins in security appliances,,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Check the VPN tunnel status in firewall,,,
Alkermes,STORAGE AND BACKUP DOMAIN,Backup,Powershell,Catalog backups and Confidential Restore,,,
Alkermes,STORAGE AND BACKUP DOMAIN,Backup,Powershell,Handling tapes for ejection / insertion,,,
Alkermes,STORAGE AND BACKUP DOMAIN,Backup,Powershell,Manage drive cleanings,,,
Alkermes,STORAGE AND BACKUP DOMAIN,Backup,Powershell,Monitoring backup alert failures,,,
Alkermes,STORAGE AND BACKUP DOMAIN,Backup,Powershell,Handling tapes ejection and insertion at every vault cycle (weekly/monthly),,,
Alkermes,STORAGE AND BACKUP DOMAIN,Backup,Powershell,Troubleshooting of Exceeded Disk Thresholds and inconsistency in Replica,,,
Alkermes,WINTEL DOMAIN,Active Directory,Powershell,Monitor Backup jobs,,,
Alkermes,STORAGE AND BACKUP DOMAIN,Backup,Powershell,Configuration changes in Existing Vault profiles (including catalog and tape management for vault),,,
Alkermes,STORAGE AND BACKUP DOMAIN,Backup,Powershell,Send Backup Report on daily basis and review them for accuracy on monthly basis.,,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,"Provide system administration services including mailbox administration, add/move/ send of behalf/ mailbox permissions",,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,"Provide public folder administration services, including creation/deletion of folders, folder owner permissions and ownership assignment, and folder replication management.",,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,"Organizational Unit creation, deletion and delegation.",,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,Backing up / restoring Active Directory objects.,,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,"Delegating administration (creating admin accounts and groups, delegating permissions to these accounts and groups).",,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,Day to day Active Directory user administration.,,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,Reviewing all performance related reports (Health Monitoring reports).,,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,"Provide performance reports according to Alkermes requirement and SLAs (e.g. Mobility ticket data and trending report, .)",,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Add/Delete users to/from AD groups,,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,Local Policy Degrade Control,,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,RU Count for AD & Mailbox,,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,Certificate Expiry Notification,,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,Account Expiry Notification,,,
Alkermes,TOOLS DOMAIN,Tools,"Tools, Optibot, Python & Misc",Nimsoft Agent Deployment,,,
Alkermes,TOOLS DOMAIN,Tools,Powershell,Adding and Removing Devices from Monitoring,,,
Alkermes,TOOLS DOMAIN,Tools,Powershell,Scheduling email notification ,,,
Alkermes,TOOLS DOMAIN,Tools,Powershell,Alert to Ticket Automation,,,
Alkermes,TOOLS DOMAIN,Tools,Powershell,Event  Escalation policies,,,
Alkermes,TOOLS DOMAIN,Tools,Powershell,CDM Probe Configuration,,,
Alkermes,TOOLS DOMAIN,Tools,Powershell,Ntservices Probe Configuration,,,
Alkermes,TOOLS DOMAIN,Tools,Powershell,Process Configuration,,,
Alkermes,TOOLS DOMAIN,Tools,Powershell,Controller Probe Alerts Validation,,,
Alkermes,TOOLS DOMAIN,Tools,Powershell,Addition of Process Utilization for CPU and Memory Alert,,,
